name_en,name_es,type,publication,language,date,doi,info,topic
Conjectural artworks: seeing at and beyond Maturana and Varela’s visual thinking on life and cognition,,articulo,AI & Society,en,2022,https://doi.org/10.1007/s00146-021-01355-1,Vol. 37 Num. 3. Pp. 1307–1318,"visualización de datos, enactivismo, autómatas celulares, semiótica cognitiva"
How to Collect Citizen-Sourced Digital Data for Social Science Research: Participatory Methods,,capitulo,Sage Research Methods. Doing Research Online,en,2022,https://doi.org/10.4135/9781529608328,,"humanidades digitales, humanidades ciudadanas"
Visual Signs at Human Scale: A Classification of Data Visualization Methods and an Inquiry on their Implications for Humanities,Signos visuales a escala humana: una clasificación de métodos de visualización de datos y una reflexión sobre sus alcances para la investigación humanística,articulo,Revista de Humanidades Digitales,es,2021,https://doi.org/10.5944/rhd.vol.6.2021.30734,Vol. 6.  Pp. 64–84,"visualización de datos, humanidades digitales, semiótica"
"Organization, Experience, And Adaptation.Three Biosemiotic Connections BetweenVon Uexküll’s Thought and Maturanaand Varela’s Enactive Biology","Organización, experiencia y adaptación. Tres conexiones biosemióticas entre el pensamiento de von Uexküll y la biología enactiva de Maturana y Varela",articulo,Revista Colombiana de Filosofía de la Ciencia,es,2021,https://doi.org/10.18270/rcfc.v43i21.3365,Vol. 21. Num. 43.  Pp. 207–230,"semiótica cognitiva, biosemiótica, enactivismo"
Developing creative intelligence in design: rethinking semiotics,Desarrollar la inteligencia creativa en diseño: repensar la semiótica,articulo,Bitácora Urbano Territorial ,es,2020,https://doi.org/10.15446/bitacora.v30n2.81537,"Vol. 30, Num. 2.  Pp. 141–150","semiótica, arte y diseño"
Cartographies of the mind: Generalization and relevance in cognitive landscapes,,articulo,Sign Systems Studies,en,2019,https://doi.org/10.12697/SSS.2019.47.3-4.02,"Vol. 47, Num. 3/4.  Pp. 382–399","semiótica cognitiva, biosemiótica"
An agential-narrative approach on art semiosis,,articulo,Technoetic Arts,en,2019,https://doi.org/10.1386/tear_00021_1,"Vol. 17, Num. 3.  Pp. 281–295","semiótica, arte y diseño"
Recurrences and Human Agential Meaning Grounding: Laying a Path in Walking,,articulo,Biosemiotics,en,2016,https://doi.org/10.1007/s12304-016-9267-2,"Vol. 9, Num. 2.  Pp. 169–184","semiótica cognitiva, biosemiótica, enactivismo"
"Artists and discourse identities. “El gran telón”, the “Luis Caballero” of the critics, and the “Caballero” of himself","Artistas e identidades discursivas. El gran telón, el Luis Caballero de la crítica y el Caballero de Caballero",articulo,Hallazgos,es,2015,https://doi.org/10.15332/s1794-3841.2015.0024.01,"Vol. 12, Num. 24.  Pp. 19–30","semiótica, arte y diseño"
"Indecisive characters: discourse, identity, and narrative uncertainty","Personajes indecisos: discurso, identidad e incertidumbre narrativa",articulo,Hallazgos,es,2014,https://doi.org/10.15332/s1794-3841.2014.0022.02,"Vol. 11, Num. 22.  Pp. 41–49","semiótica, arte y diseño"
