name_en,name_es,type,publication,language,date,doi,info,topic
Youth-led online mobilization and K-pop activism: jamming #ISupportMyPolice (#YoApoyoAMiPolicia) during the 2021 Colombian social outburst,,articulo,Journal of Information Technology & Politics,en,2025,https://doi.org/10.1080/19331681.2025.2568884,Con Andrés Lombana-Bermúdez | Pp. 1-17,"humanidades digitales, ciencias sociales"
,Biteratura en español: posibilidades literarias generativas e interactivas para archivos digitales dinámicos,capitulo,"¡Hola, mundo! Humanidades Digitales en América Latina",es,2025,http://doi.org/10.51573/Andes.9789587987362.9789587987379.9789587987867,"Con Juan Álvarez Umbarila. M. J. Afanador Llach, G. del Rio Riande, E. Priani Siasó. Ediciones Uniandes.","humanidades digitales, investigación creación, arte y diseño"
,Hilando saberes: entrecruzamientos de la investigación-creación y la investigación acción participativa. Perspectivas desde la comunicación.,capitulo,Pensar en movimiento. Cátedra Unesco de comunicación,es,2025,https://www.javeriana.edu.co/unesco/pdf/Pensar_en_movimiento_Catedra_Unesco_30anos.pdf,"Con varios autores. L. Melo González, M. Montenegro, D. Moreno Rodríguez, & J. M. Pereira (Eds.). Editorial Pontificia Universidad JAveriana.","comunicación, investigación creación, ciencias sociales"
Interactive panels as explorative tools of visual sources: continuing Warburg’s epistemological principles,,articulo,Journal of Digital History,en,2024,https://doi.org/10.1515/JDH-2024-0007?locatt=label:JDHFULL,Con Juan Felipe Urueña Calderón | Vol. 3. Num 1.,"humanidades digitales, visualización de datos, semiótica"
,Tres andamios para el cómic colombiano,articulo,Revista de Estudios Colombianos,es,2024,https://doi.org/10.53556/2eme6b98,Vol. 63. Pp. 20-25,"arte y diseño, cómics"
"Animalista, Narco-Cultural, Conservacionista. Visions of Nature Around the Case of Hippos in Colombia",,articulo,Biosemiotics,en,2023,https://doi.org/10.1007/s12304-023-09541-y,Con Germán Jiménez | Vol. 16. Pp. 457-478,"semiótica, biosemiótica, humanidades digitales"
,Generadores de texto e imágenes usando gramáticas libres de contexto en Aventura.js,leccion,Programming Historian,es,2023,https://doi.org/10.46430/phes0063,Programming Historian en español 7,"humanidades digitales, arte y diseño"
Overflowing Hashtags on Twitter: K-Pop Digital Protests within the Context of the 2021 National Strike in Colombia,Desbordando hashtags de Twitter: La protesta digital k-pop en el Paro Nacional de 2021 en Colombia,articulo,Disertaciones,es,2023,https://doi.org/10.12804/revistas.urosario.edu.co/disertaciones/a.12803,Con Andrés Lombana-Bermúdez | Vol. 16. Num. 3. Pp. 1307–1318,"humanidades digitales, ciencias sociales"
Stories Explaining Meaning. (Open Commentary of “The Maturanian Turn: Good Prospects for the Language Sciences” by Alexander V. Kravchenko),,comentario,Constructivist Foundations,en,2022,https://constructivist.info/18/1/059,"Vol. 18, Num 1.  Pp. 59-63","enactivismo, semiótica cognitiva"
Conjectural artworks: seeing at and beyond Maturana and Varela’s visual thinking on life and cognition,,articulo,AI & Society,en,2022,https://doi.org/10.1007/s00146-021-01355-1,Vol. 37 Num. 3. Pp. 1307–1318,"visualización de datos, enactivismo, autómatas celulares, semiótica cognitiva"
How to Collect Citizen-Sourced Digital Data for Social Science Research: Participatory Methods,,capitulo,Sage Research Methods. Doing Research Online,en,2022,https://methods.sagepub.com/how-to-guide/collect-citizen-digital-data-social-science-participatory#_,.,"humanidades digitales, humanidades ciudadanas, ciencias sociales"
Visual Signs at Human Scale: A Classification of Data Visualization Methods and an Inquiry on their Implications for Humanities,Signos visuales a escala humana: una clasificación de métodos de visualización de datos y una reflexión sobre sus alcances para la investigación humanística,articulo,Revista de Humanidades Digitales,es,2021,https://revistas.uned.es/index.php/RHD/article/view/30734,Vol. 6.  Pp. 64–84,"visualización de datos, humanidades digitales, semiótica"
"Organization, Experience, And Adaptation.Three Biosemiotic Connections BetweenVon Uexküll’s Thought and Maturanaand Varela’s Enactive Biology","Organización, experiencia y adaptación. Tres conexiones biosemióticas entre el pensamiento de von Uexküll y la biología enactiva de Maturana y Varela",articulo,Revista Colombiana de Filosofía de la Ciencia,es,2021,https://doi.org/10.18270/rcfc.v43i21.3365,Vol. 21. Num. 43.  Pp. 207–230,"semiótica cognitiva, biosemiótica, enactivismo"
Developing creative intelligence in design: rethinking semiotics,Desarrollar la inteligencia creativa en diseño: repensar la semiótica,articulo,Bitácora Urbano Territorial ,es,2020,https://doi.org/10.15446/bitacora.v30n2.81537,"Vol. 30, Num. 2.  Pp. 141–150","semiótica, arte y diseño"
Cartographies of the mind: Generalization and relevance in cognitive landscapes,,articulo,Sign Systems Studies,en,2019,https://doi.org/10.12697/SSS.2019.47.3-4.02,"Vol. 47, Num. 3/4.  Pp. 382–399","semiótica cognitiva, biosemiótica"
An agential-narrative approach on art semiosis,,articulo,Technoetic Arts,en,2019,https://doi.org/10.1386/tear_00021_1,"Vol. 17, Num. 3.  Pp. 281–295","semiótica, arte y diseño"
Recurrences and Human Agential Meaning Grounding: Laying a Path in Walking,,articulo,Biosemiotics,en,2016,https://doi.org/10.1007/s12304-016-9267-2,"Vol. 9, Num. 2.  Pp. 169–184","semiótica cognitiva, biosemiótica, enactivismo"
"Artists and discourse identities. “El gran telón”, the “Luis Caballero” of the critics, and the “Caballero” of himself","Artistas e identidades discursivas. El gran telón, el Luis Caballero de la crítica y el Caballero de Caballero",articulo,Hallazgos,es,2015,https://doi.org/10.15332/s1794-3841.2015.0024.01,"Vol. 12, Num. 24.  Pp. 19–30","semiótica, arte y diseño"
